model,n_T,sample_seed,model_seed,train_rows,val_rows,test_rows,b_scale,test_rmse,test_mae,rmse_interp,rmse_extrap,n_interp,n_extrap,elapsed_s
Bc,all,0,42,67716,7524,19019,1370.451345396884,0.2014455795288086,0.1390950828790664,0.1795516413215345,0.2168125663460703,8277,10742,40.3
Bc,all,0,123,67716,7524,19019,1370.451345396884,0.1906301826238632,0.1302848756313324,0.1656828055983989,0.2078199667178158,8277,10742,46.5
Bc,all,0,456,67716,7524,19019,1370.451345396884,0.2032988667488098,0.1389851421117782,0.1850822252960147,0.2162912580634485,8277,10742,31.1
A,all,1,42,67716,7524,19019,,0.1914411783218383,0.130783811211586,0.1672450835793233,0.2081753583818419,8277,10742,43.8
A,all,1,123,67716,7524,19019,,0.2011194676160812,0.138837069272995,0.1716537852863874,0.2211617350747023,8277,10742,42.9
A,all,1,456,67716,7524,19019,,0.2236304879188537,0.1550892293453216,0.2008845499018795,0.2396889528549592,8277,10742,21.7
Bc,all,1,42,67716,7524,19019,1370.451345396884,0.1961536109447479,0.1346569955348968,0.1797077017868071,0.2079402734753302,8277,10742,35.0
Bc,all,1,123,67716,7524,19019,1370.451345396884,0.208690345287323,0.1452165246009826,0.1893990958505316,0.2224163325873097,8277,10742,31.4
Bc,all,1,456,67716,7524,19019,1370.451345396884,0.19105826318264,0.1296489834785461,0.1725375975244721,0.2041862418950384,8277,10742,40.4
A,all,2,42,67716,7524,19019,,0.1958715766668319,0.1324875950813293,0.1697096271837805,0.2138580140227024,8277,10742,44.1
A,all,2,123,67716,7524,19019,,0.1973632574081421,0.1360295712947845,0.1721375826261353,0.2147888931367528,8277,10742,43.2
A,all,2,456,67716,7524,19019,,0.2113678753376007,0.14568692445755,0.1835583083848157,0.230518695259775,8277,10742,31.3
Bc,all,2,42,67716,7524,19019,1370.451345396884,0.1952194720506668,0.1328037977218628,0.1744720001553209,0.2098111217684685,8277,10742,43.6
Bc,all,2,123,67716,7524,19019,1370.451345396884,0.198236733675003,0.1364027261734008,0.1747982968737025,0.2145571935921433,8277,10742,39.6
Bc,all,2,456,67716,7524,19019,1370.4513453968839,0.20252840220928192,0.13914619386196136,0.18026815331723917,0.21813649602091717,8277,10742,32.0
